trade_id,symbol,side,entry_time_utc,entry_price,lowest_100_price,highest_100_price,atr_14,stop_loss_price,take_profit_price,risk_usdt,target_reward_usdt,result,pnl_usdt,holding_bars,target,trend_100b_pct,trend_50b_pct,trend_20b_pct,stoch_pos_pct,norm_atr_pct,volatility_range_pct,volume_ratio,entry_hour,dist_to_100low_pct,last_bar_body_ratio,last_bar_is_bullish
1134,TACUSDT,LONG,2026-08-14 19:00:00 UTC,0.00264,0.00258,0.00307,4e-05,0.0025,0.00292,2.69,5.38,WIN,5.38,18,1,-13.4426,-8.0139,-3.6496,12.2449,1.5152,18.5606,1.1572,19,2.2727,1.0,0
1135,TACUSDT,LONG,2026-08-14 20:00:00 UTC,0.00263,0.00258,0.00307,4e-05,0.0025,0.00288,2.43,4.87,WIN,4.87,17,1,-12.0401,-8.042,-4.0146,10.2041,1.5209,18.6312,1.1653,20,1.9011,1.0,0
1136,TACUSDT,LONG,2026-08-14 21:00:00 UTC,0.00263,0.00258,0.00307,4e-05,0.0025,0.0029,2.48,4.97,WIN,4.97,16,1,-12.6246,-8.042,-3.663,10.2041,1.5209,18.6312,1.087,21,1.9011,0.0,0
1137,TACUSDT,LONG,2026-08-14 22:00:00 UTC,0.00268,0.00258,0.00307,4e-05,0.0025,0.00303,3.29,6.58,LOSS,-3.29,106,0,-10.3679,-5.9649,1.1321,20.4082,1.4925,18.2836,1.0262,22,3.7313,0.8333,1
1138,TACUSDT,LONG,2026-08-14 23:00:00 UTC,0.00262,0.00256,0.00307,5e-05,0.00246,0.00292,2.92,5.84,WIN,5.84,14,1,-12.9568,-7.4205,-2.6022,11.7647,1.9084,19.4656,1.2694,23,2.2901,0.4615,0
1139,TACUSDT,LONG,2026-08-15 00:00:00 UTC,0.00263,0.00256,0.00307,5e-05,0.00247,0.00294,3.02,6.04,WIN,6.04,13,1,-12.9139,-7.3944,-2.952,13.7255,1.9011,19.3916,1.192,0,2.6616,0.3333,1
1140,TACUSDT,LONG,2026-08-15 01:00:00 UTC,0.00263,0.00256,0.00307,5e-05,0.00247,0.00296,3.13,6.26,WIN,6.26,12,1,-12.5828,-8.0139,-2.583,13.7255,1.9011,19.3916,1.1435,1,2.6616,0.3333,1
1141,TACUSDT,LONG,2026-08-15 02:00:00 UTC,0.00263,0.00256,0.00307,4e-05,0.00247,0.00296,3.05,6.11,WIN,6.11,11,1,-13.2013,-8.6806,-1.8657,13.7255,1.5209,19.3916,1.0164,2,2.6616,0.0,0
1142,TACUSDT,LONG,2026-08-15 03:00:00 UTC,0.00262,0.00256,0.00304,4e-05,0.00247,0.00291,2.75,5.51,WIN,5.51,10,1,-12.3746,-8.0702,-2.6022,12.5,1.5267,18.3206,0.953,3,2.2901,0.3333,0
1143,TACUSDT,LONG,2026-08-15 04:00:00 UTC,0.00261,0.00256,0.00301,4e-05,0.00248,0.00288,2.54,5.08,WIN,5.08,9,1,-13.0,-8.7413,-1.8797,11.1111,1.5326,17.2414,0.9202,4,1.9157,0.5,0
1144,TACUSDT,LONG,2026-08-15 05:00:00 UTC,0.00263,0.00256,0.003,4e-05,0.00248,0.00293,2.85,5.71,WIN,5.71,8,1,-12.0401,-8.9965,-0.7547,15.9091,1.5209,16.73,0.9018,5,2.6616,0.6667,1
1145,TACUSDT,LONG,2026-08-15 06:00:00 UTC,0.00265,0.00256,0.003,4e-05,0.00248,0.00301,3.31,6.62,LOSS,-3.31,98,0,-11.0738,-8.3045,1.5326,20.4545,1.5094,16.6038,0.914,6,3.3962,0.4,1
1146,TACUSDT,LONG,2026-08-15 07:00:00 UTC,0.00266,0.00256,0.003,4e-05,0.00248,0.00302,3.4,6.79,LOSS,-3.4,97,0,-10.7383,-8.5911,2.3077,22.7273,1.5038,16.5414,0.9216,7,3.7594,0.5,1
1147,TACUSDT,LONG,2026-08-15 08:00:00 UTC,0.00267,0.00256,0.003,4e-05,0.00248,0.00303,3.42,6.84,LOSS,-3.42,96,0,-10.4027,-7.6125,0.7547,25.0,1.4981,16.4794,0.9033,8,4.1199,0.5,1
1148,TACUSDT,LONG,2026-08-15 09:00:00 UTC,0.00265,0.00256,0.003,4e-05,0.00248,0.00298,3.11,6.22,WIN,6.22,4,1,-10.1695,-8.3045,1.145,20.4545,1.5094,16.6038,0.5638,9,3.3962,0.6667,0
1149,TACUSDT,LONG,2026-08-15 10:00:00 UTC,0.00268,0.00256,0.00299,4e-05,0.00248,0.00307,3.67,7.34,LOSS,-3.67,94,0,-8.8435,-6.9444,0.7519,27.907,1.4925,16.0448,0.614,10,4.4776,0.5,1
1150,TACUSDT,LONG,2026-08-15 11:00:00 UTC,0.00272,0.00256,0.00299,4e-05,0.00248,0.00322,4.53,9.06,LOSS,-4.53,93,0,-6.5292,-5.5556,2.2556,37.2093,1.4706,15.8088,0.7536,11,5.8824,0.5,1
1151,TACUSDT,LONG,2026-08-15 12:00:00 UTC,0.00274,0.00256,0.00299,5e-05,0.00247,0.0033,5.03,10.06,LOSS,-5.03,92,0,-4.5296,-4.8611,3.0075,41.8605,1.8248,15.6934,0.9683,12,6.5693,0.2,1
1152,TACUSDT,LONG,2026-08-15 13:00:00 UTC,0.00292,0.00256,0.00299,6e-05,0.00244,0.00388,8.24,16.47,LOSS,-8.24,91,0,0.3436,2.8169,9.7744,83.7209,2.0548,14.726,1.542,13,12.3288,0.75,1
1153,TACUSDT,LONG,2026-08-15 14:00:00 UTC,0.00279,0.00256,0.00299,7e-05,0.00243,0.0035,6.42,12.83,LOSS,-6.42,90,0,-5.4422,-2.4561,5.303,53.4884,2.509,15.4122,2.4746,14,8.2437,0.9333,0
