Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
181,2ZUSDT,249,32.1285140562249,-38.29249360503489,-38.29249360503489,961.7075063949642
182,CAKEUSDT,210,30.476190476190478,-38.457338609748845,-38.457338609748845,961.5426613902487
183,HOLOUSDT,240,32.5,-39.793689341605024,-39.793689341605024,960.2063106583938
184,BRUSDT,249,35.34136546184739,-39.82138026029895,-39.82138026029895,960.1786197397005
185,ICXUSDT,223,31.390134529147986,-40.1257376074872,-40.1257376074872,959.874262392511
186,CKBUSDT,200,27.500000000000004,-40.13826966498335,-40.13826966498335,959.8617303350162
187,ACUUSDT,222,33.78378378378378,-40.545179149927804,-40.545179149927804,959.4548208500709
188,ETHWUSDT,237,32.06751054852321,-40.67901996734527,-40.67901996734527,959.320980032653
189,EIGENUSDT,248,29.838709677419356,-41.19824719111788,-41.19824719111788,958.8017528088824
190,DOGEUSDT,183,27.86885245901639,-41.36924418534398,-41.36924418534398,958.630755814655
191,ENSUSDT,217,31.797235023041477,-41.849618489915706,-41.849618489915706,958.1503815100841
192,BERAUSDT,223,30.94170403587444,-41.864692647814195,-41.864692647814195,958.1353073521854
193,HEMIUSDT,265,32.45283018867924,-42.33265262281397,-42.33265262281397,957.667347377186
194,ASTERUSDT,177,27.11864406779661,-42.41833972860335,-42.41833972860335,957.5816602713941
195,ILVUSDT,227,31.277533039647576,-42.45522400482291,-42.45522400482291,957.5447759951762
196,AZTECUSDT,217,30.87557603686636,-42.655579167651304,-42.655579167651304,957.3444208323482
197,EGLDUSDT,231,30.735930735930733,-42.93808602491845,-42.93808602491845,957.0619139750819
198,FLOWUSDT,214,28.504672897196258,-43.064299789729624,-43.064299789729624,956.9357002102687
199,DYMUSDT,236,30.93220338983051,-43.65446701977228,-43.65446701977228,956.3455329802275
200,IDUSDT,262,28.62595419847328,-43.78155054797316,-43.78155054797316,956.2184494520267
201,COWUSDT,217,30.414746543778804,-44.030559855737245,-44.030559855737245,955.9694401442617
202,HBARUSDT,217,29.493087557603687,-44.342370603648426,-44.342370603648426,955.65762939635
203,BBXUSDT,203,34.48275862068966,-45.0273467629829,-45.0273467629829,954.9726532370167
204,1000FLOKIUSDT,216,27.77777777777778,-45.2232646088011,-45.2232646088011,954.7767353911979
205,JELLYJELLYUSDT,261,32.18390804597701,-45.80837525517094,-45.80837525517094,954.1916247448279
206,IOSTUSDT,177,30.508474576271187,-46.627121707503704,-46.627121707503704,953.3728782924952
207,KAVAUSDT,181,25.41436464088398,-46.932314505383,-46.932314505383,953.0676854946161
208,ATUSDT,231,30.735930735930733,-48.010947134327225,-48.010947134327225,951.9890528656729
209,BMTUSDT,219,29.22374429223744,-48.05075941271866,-48.05075941271866,951.9492405872804
210,ARKUSDT,206,27.669902912621357,-48.05595832182921,-48.05595832182921,951.9440416781705
211,HUMAUSDT,265,30.943396226415093,-48.14172373095387,-48.14172373095387,951.8582762690452
212,ANKRUSDT,245,31.83673469387755,-48.23483158513666,-48.23483158513666,951.7651684148631
213,AIOTUSDT,282,31.560283687943265,-48.30501365945904,-48.30501365945904,951.6949863405412
214,KAIAUSDT,219,25.570776255707763,-48.35843626551772,-48.35843626551772,951.641563734481
215,DASHUSDT,238,30.252100840336134,-49.0163483525465,-49.0163483525465,950.9836516474528
216,JASMYUSDT,241,29.045643153526974,-49.129325480369054,-49.129325480369054,950.8706745196304
217,GLMUSDT,229,32.314410480349345,-49.15015527263576,-49.15015527263576,950.8498447273637
218,BNTUSDT,235,26.382978723404253,-49.578049806489425,-49.578049806489425,950.4219501935096
219,BIRBUSDT,220,33.63636363636363,-49.81219212006954,-49.81219212006954,950.1878078799298
220,DELLUSDT,144,30.555555555555557,-49.976340913349645,-49.976340913349645,950.0236590866486
221,JOEUSDT,211,28.436018957345972,-50.487887548942496,-50.487887548942496,949.5121124510578
222,1000LUNCUSDT,213,32.3943661971831,-50.601885001162685,-50.601885001162685,949.398114998837
223,FLUIDUSDT,260,31.538461538461537,-50.88589385439004,-50.88589385439004,949.1141061456098
224,1000BONKUSDT,221,28.95927601809955,-50.992287055074975,-50.992287055074975,949.0077129449252
225,BANANAUSDT,250,29.599999999999998,-51.200321052068794,-51.200321052068794,948.7996789479308
226,ALGOUSDT,216,28.703703703703702,-51.40028593911588,-51.40028593911588,948.5997140608841
227,ENJUSDT,275,30.545454545454547,-51.87670755585048,-51.87670755585048,948.1232924441488
228,ETCUSDT,218,27.06422018348624,-52.25072678052321,-52.25072678052321,947.7492732194753
229,CTSIUSDT,219,30.59360730593607,-52.5431817766893,-52.5431817766893,947.4568182233104
230,CGPTUSDT,231,30.735930735930733,-52.569597883532424,-52.569597883532424,947.4304021164676
231,CVCUSDT,211,27.014218009478675,-52.74532229224006,-52.74532229224006,947.2546777077588
232,GRTUSDT,213,29.107981220657276,-53.06771889434333,-53.06771889434333,946.9322811056556
233,APTUSDT,262,32.06106870229007,-53.33147703183454,-53.33147703183454,946.6685229681643
234,GUNUSDT,206,30.582524271844658,-53.35898891625891,-53.35898891625891,946.6410110837413
235,BUSDT,223,25.112107623318387,-53.46654259910278,-53.46654259910278,946.5334574008964
236,ASTRUSDT,198,28.28282828282828,-53.979905795408065,-53.979905795408065,946.0200942045916
237,ETHFIUSDT,268,27.611940298507463,-54.00265480410083,-54.00265480410083,945.9973451959006
238,FARTCOINUSDT,225,30.22222222222222,-54.094760364799754,-54.094760364799754,945.9052396351997
239,ANIMEUSDT,234,29.059829059829063,-54.40870981601241,-54.40870981601241,945.5912901839869
240,ICPUSDT,240,28.333333333333332,-54.759713342548004,-54.759713342548004,945.2402866574507
241,BOMEUSDT,219,28.767123287671232,-55.64041042394567,-55.64041042394567,944.3595895760548
242,B2USDT,223,31.390134529147986,-55.770743997212676,-55.770743997212676,944.2292560027876
243,FILUSDT,234,29.48717948717949,-56.036018049900484,-56.036018049900484,943.9639819500995
244,CUSDT,260,30.384615384615383,-56.07106582716306,-56.07106582716306,943.9289341728361
245,ENAUSDT,257,31.1284046692607,-56.16434322390968,-56.16434322390968,943.8356567760898
246,DUSKUSDT,225,29.333333333333332,-56.64755385274225,-56.64755385274225,943.3524461472578
247,IOUSDT,253,29.249011857707508,-56.71436281627196,-56.71436281627196,943.2856371837277
248,COMPUSDT,208,25.961538461538463,-56.963710301085946,-56.963710301085946,943.0362896989129
249,4USDT,237,30.37974683544304,-57.374078642765966,-57.374078642765966,942.625921357234
250,JUPUSDT,291,29.896907216494846,-57.39761144771675,-57.39761144771675,942.6023885522839
251,GALAUSDT,226,30.53097345132743,-57.62712432948298,-57.62712432948298,942.3728756705159
252,1000CHEEMSUSDT,201,27.363184079601986,-58.01289655068957,-58.01289655068957,941.9871034493109
253,FOLKSUSDT,251,28.68525896414343,-58.79054912395873,-58.79054912395873,941.209450876041
254,BBUSDT,266,28.195488721804512,-59.18714047026666,-59.18714047026666,940.8128595297333
255,BIGTIMEUSDT,231,27.27272727272727,-59.39101422930258,-59.39101422930258,940.6089857706964
256,EVAAUSDT,361,32.13296398891966,-59.40653635072425,-59.40653635072425,940.5934636492753
257,FORMUSDT,248,29.435483870967744,-59.44012248322632,-59.44012248322632,940.5598775167728
258,IOTXUSDT,262,32.06106870229007,-59.984970915057914,-59.984970915057914,940.0150290849423
259,AVAXUSDT,212,26.41509433962264,-60.258081573334344,-60.258081573334344,939.741918426665
260,CTKUSDT,217,28.57142857142857,-60.28704996766103,-60.28704996766103,939.7129500323388
261,CHRUSDT,203,29.55665024630542,-60.367663527688926,-60.367663527688926,939.6323364723102
262,CETUSUSDT,201,26.368159203980102,-60.95258317571031,-60.95258317571031,939.047416824289
263,IMXUSDT,251,28.68525896414343,-61.53836811891634,-61.53836811891634,938.4616318810841
264,1000CATUSDT,254,28.74015748031496,-61.711397526730536,-61.711397526730536,938.2886024732696
265,AIXBTUSDT,266,30.451127819548873,-62.23905945234169,-62.23905945234169,937.7609405476578
266,AXLUSDT,237,27.004219409282697,-63.948207468392674,-63.948207468392674,936.0517925316067
267,INJUSDT,240,28.749999999999996,-64.01858643397254,-64.01858643397254,935.9814135660273
268,API3USDT,216,26.851851851851855,-64.03259155920784,-64.03259155920784,935.9674084407918
269,ELSAUSDT,231,30.735930735930733,-64.52165415941742,-64.52165415941742,935.4783458405826
270,GMTUSDT,214,28.037383177570092,-64.61656120284646,-64.61656120284646,935.3834387971531
271,HYPERUSDT,248,29.03225806451613,-64.74466839679802,-64.74466839679802,935.2553316032021
272,FIDAUSDT,223,30.493273542600896,-64.8160914083737,-64.8160914083737,935.183908591626
273,ARUSDT,228,26.75438596491228,-64.92920473518168,-64.92920473518168,935.0707952648173
274,CHILLGUYUSDT,252,30.158730158730158,-65.07238702943772,-65.07238702943772,934.9276129705629
275,ACHUSDT,239,31.799163179916317,-65.1250460620847,-65.1250460620847,934.8749539379154
276,CYBERUSDT,243,26.337448559670783,-65.18597800867246,-65.18597800867246,934.8140219913266
277,ATHUSDT,247,27.93522267206478,-65.41413655495633,-65.41413655495633,934.5858634450449
278,GOATUSDT,269,28.99628252788104,-65.43120746311465,-65.43120746311465,934.568792536886
279,IDOLUSDT,219,31.506849315068493,-65.59923626102466,-65.59923626102466,934.4007637389755
280,GUSDT,253,27.66798418972332,-65.75630390640355,-65.75630390640355,934.2436960935963
281,GTCUSDT,234,27.77777777777778,-65.99978936651885,-65.99978936651885,934.000210633481
282,JCTUSDT,302,31.456953642384107,-66.38995198204769,-66.38995198204769,933.6100480179532
283,ARCUSDT,231,29.43722943722944,-68.10428492342858,-68.10428492342858,931.8957150765706
284,BROCCOLI714USDT,269,28.25278810408922,-68.45364288763625,-68.45364288763625,931.5463571123632
285,BREVUSDT,235,29.78723404255319,-68.99353318107819,-68.99353318107819,931.0064668189217
286,GPSUSDT,207,29.468599033816425,-69.96538999934347,-69.96538999934347,930.0346100006558
287,BANUSDT,249,30.923694779116467,-69.99613612992125,-69.99613612992125,930.0038638700776
288,ALPINEUSDT,225,26.222222222222225,-70.22333755641945,-70.22333755641945,929.7766624435816
289,1MBABYDOGEUSDT,208,23.076923076923077,-70.26265331010494,-70.26265331010494,929.7373466898941
290,FLOCKUSDT,216,28.703703703703702,-70.33594301401965,-70.33594301401965,929.6640569859804
291,CHIPUSDT,260,31.538461538461537,-70.53058259665346,-70.53058259665346,929.4694174033468
292,HOTUSDT,255,29.01960784313726,-71.13188349054936,-71.13188349054936,928.8681165094498
293,BIOUSDT,251,28.68525896414343,-71.48104881450082,-71.48104881450082,928.5189511854998
294,C98USDT,231,24.242424242424242,-71.936028261617,-71.936028261617,928.063971738382
295,HANAUSDT,259,27.7992277992278,-72.47505500734947,-72.47505500734947,927.5249449926505
296,ALICEUSDT,242,28.92561983471074,-72.52406466248486,-72.52406466248486,927.475935337515
297,COOKIEUSDT,260,29.230769230769234,-75.20949528018006,-75.20949528018006,924.7905047198196
298,FIGHTUSDT,222,31.53153153153153,-75.422247330544,-75.422247330544,924.5777526694566
299,BANANAS31USDT,265,29.056603773584904,-75.83382469108076,-75.83382469108076,924.1661753089202
300,ARIAUSDT,276,30.07246376811594,-76.32582271312039,-76.32582271312039,923.6741772868792
301,BASUSDT,322,29.503105590062113,-76.91286210509436,-76.91286210509436,923.0871378949056
302,EDGEUSDT,256,28.90625,-78.98520480051346,-78.98520480051346,921.0147951994868
303,EDUUSDT,299,30.100334448160538,-79.8973080092751,-79.8973080092751,920.1026919907247
304,KASUSDT,218,22.018348623853214,-79.95497939350686,-79.95497939350686,920.0450206064919
305,AERGOUSDT,183,26.775956284153008,-80.26484570406664,-80.26484570406664,919.735154295931
306,GRASSUSDT,218,29.81651376146789,-82.75372696142905,-82.75372696142905,917.2462730385713
307,FETUSDT,239,27.615062761506277,-83.05356792691362,-83.05356792691362,916.9464320730864
308,CELOUSDT,284,28.169014084507044,-83.46852824089468,-83.46852824089468,916.5314717591057
309,ARPAUSDT,227,28.634361233480178,-84.52686422101087,-84.52686422101087,915.4731357789893
310,CFGUSDT,261,27.586206896551722,-86.68488075491952,-86.68488075491952,913.3151192450802
311,ARKMUSDT,245,26.53061224489796,-87.01031950684106,-87.01031950684106,912.9896804931594
312,AVNTUSDT,276,26.811594202898554,-87.922449991205,-87.922449991205,912.0775500087947
313,BTWUSDT,408,32.35294117647059,-88.39048482650597,-88.39048482650597,911.6095151734938
314,GENIUSUSDT,286,27.972027972027973,-88.39391295564177,-88.39391295564177,911.6060870443595
315,ENSOUSDT,249,27.309236947791167,-89.38165496605238,-89.38165496605238,910.6183450339475
316,HAEDALUSDT,266,27.06766917293233,-91.63002437297757,-91.63002437297757,908.3699756270215
317,CLOUSDT,308,29.545454545454547,-91.96236681628223,-91.96236681628223,908.0376331837175
318,FHEUSDT,304,29.276315789473685,-92.97183358570356,-92.97183358570356,907.0281664142964
319,CELRUSDT,240,22.916666666666664,-93.91823109675322,-93.91823109675322,906.0817689032465
320,BULLAUSDT,237,34.59915611814346,-94.84736019897001,-94.84736019897001,905.1526398010303
321,EDENUSDT,300,27.0,-105.56703169678393,-105.56703169678393,894.4329683032161
322,INXUSDT,253,28.458498023715418,-106.92508610075156,-106.92508610075156,893.0749138992483
323,APRUSDT,285,27.719298245614034,-107.47919352457275,-107.47919352457275,892.5208064754273
324,CTRUSDT,246,29.67479674796748,-110.70510593651326,-110.70510593651326,889.2948940634868
325,DODOXUSDT,238,31.512605042016805,-112.69956750075895,-112.69956750075895,887.300432499242
326,AIAUSDT,241,25.311203319502074,-125.86765402444472,-125.86765402444472,874.1323459755552
327,IRYSUSDT,269,24.1635687732342,-129.3032867516991,-129.3032867516991,870.6967132483012
328,KAITOUSDT,243,25.102880658436217,-134.30905798643826,-134.30905798643826,865.6909420135617
329,BLUAIUSDT,275,27.27272727272727,-140.4983930061142,-140.4983930061142,859.5016069938864
330,AVAAIUSDT,251,25.89641434262948,-153.297866059816,-153.297866059816,846.7021339401833
