Trade_ID,Symbol,Side,Entry_Time_UTC,Entry_Unix_ms,Entry_Unix_sec,Exit_Time_UTC,Exit_Unix_ms,Exit_Unix_sec,Entry_Price,Lowest_100_Price,ATR_14,Stop_Loss_Price,Take_Profit_Price,Exit_Price,Position_Size_USDT,Risk_USDT,Target_Reward_USDT,Result,PnL_USDT,PnL_Percent,Holding_Bars
1109,TACUSDT,LONG,2026-08-13 18:00:00 UTC,1786644000000,1786644000,2026-08-13 20:59:59 UTC,1786654799999,1786654799,0.00276,0.00273,4e-05,0.00265,0.00296,0.00265,50.0,1.88,3.76,LOSS,-1.88,-3.76,3
1110,TACUSDT,LONG,2026-08-13 19:00:00 UTC,1786647600000,1786647600,2026-08-13 20:59:59 UTC,1786654799999,1786654799,0.00276,0.00272,4e-05,0.00264,0.00299,0.00264,50.0,2.11,4.23,LOSS,-2.11,-4.23,2
1111,TACUSDT,LONG,2026-08-13 20:00:00 UTC,1786651200000,1786651200,2026-08-13 20:59:59 UTC,1786654799999,1786654799,0.00276,0.00272,4e-05,0.00264,0.003,0.00264,50.0,2.15,4.3,LOSS,-2.15,-4.3,1
1112,TACUSDT,LONG,2026-08-13 21:00:00 UTC,1786654800000,1786654800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00272,0.00264,5e-05,0.00254,0.00309,0.00254,50.0,3.37,6.74,LOSS,-3.37,-6.74,131
1113,TACUSDT,LONG,2026-08-13 22:00:00 UTC,1786658400000,1786658400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00275,0.00264,5e-05,0.00254,0.00316,0.00254,50.0,3.73,7.47,LOSS,-3.73,-7.47,130
1114,TACUSDT,LONG,2026-08-13 23:00:00 UTC,1786662000000,1786662000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00264,5e-05,0.00254,0.00314,0.00254,50.0,3.62,7.24,LOSS,-3.62,-7.24,129
1115,TACUSDT,LONG,2026-08-14 00:00:00 UTC,1786665600000,1786665600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00264,4e-05,0.00255,0.00313,0.00255,50.0,3.54,7.08,LOSS,-3.54,-7.08,128
1116,TACUSDT,LONG,2026-08-14 01:00:00 UTC,1786669200000,1786669200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00264,4e-05,0.00255,0.00312,0.00255,50.0,3.49,6.98,LOSS,-3.49,-6.98,127
1117,TACUSDT,LONG,2026-08-14 02:00:00 UTC,1786672800000,1786672800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00273,0.00264,4e-05,0.00255,0.00309,0.00255,50.0,3.3,6.59,LOSS,-3.3,-6.59,126
1118,TACUSDT,LONG,2026-08-14 03:00:00 UTC,1786676400000,1786676400,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00265,0.00264,5e-05,0.00254,0.00287,0.00287,50.0,2.05,4.09,WIN,4.09,8.19,34
1119,TACUSDT,LONG,2026-08-14 04:00:00 UTC,1786680000000,1786680000,2026-08-16 16:59:59 UTC,1786899599999,1786899599,0.00269,0.00264,5e-05,0.00254,0.003,0.003,50.0,2.84,5.69,WIN,5.69,11.37,61
1120,TACUSDT,LONG,2026-08-14 05:00:00 UTC,1786683600000,1786683600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00271,0.00264,5e-05,0.00254,0.00304,0.00254,50.0,3.08,6.16,LOSS,-3.08,-6.16,123
1121,TACUSDT,LONG,2026-08-14 06:00:00 UTC,1786687200000,1786687200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00271,0.00264,5e-05,0.00254,0.00303,0.00254,50.0,3.01,6.02,LOSS,-3.01,-6.02,122
1122,TACUSDT,LONG,2026-08-14 07:00:00 UTC,1786690800000,1786690800,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00268,0.00264,4e-05,0.00255,0.00296,0.00296,50.0,2.56,5.12,WIN,5.12,10.25,30
1123,TACUSDT,LONG,2026-08-14 08:00:00 UTC,1786694400000,1786694400,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00269,0.00264,4e-05,0.00255,0.00298,0.00298,50.0,2.67,5.33,WIN,5.33,10.66,29
1124,TACUSDT,LONG,2026-08-14 09:00:00 UTC,1786698000000,1786698000,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00266,0.00262,5e-05,0.00253,0.00291,0.00291,50.0,2.38,4.75,WIN,4.75,9.5,28
1125,TACUSDT,LONG,2026-08-14 10:00:00 UTC,1786701600000,1786701600,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00265,0.00262,4e-05,0.00253,0.00287,0.00287,50.0,2.09,4.18,WIN,4.18,8.35,27
1126,TACUSDT,LONG,2026-08-14 11:00:00 UTC,1786705200000,1786705200,2026-08-15 11:59:59 UTC,1786795199999,1786795199,0.00261,0.00261,5e-05,0.00251,0.0028,0.0028,50.0,1.84,3.68,WIN,3.68,7.35,25
1127,TACUSDT,LONG,2026-08-14 12:00:00 UTC,1786708800000,1786708800,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.0026,0.00258,5e-05,0.00249,0.00281,0.00281,50.0,2.07,4.14,WIN,4.14,8.28,25
1128,TACUSDT,LONG,2026-08-14 13:00:00 UTC,1786712400000,1786712400,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00265,0.00258,5e-05,0.00249,0.00297,0.00297,50.0,3.02,6.04,WIN,6.04,12.08,24
1129,TACUSDT,LONG,2026-08-14 14:00:00 UTC,1786716000000,1786716000,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00262,0.00258,5e-05,0.00249,0.00287,0.00287,50.0,2.44,4.89,WIN,4.89,9.78,23
1130,TACUSDT,LONG,2026-08-14 15:00:00 UTC,1786719600000,1786719600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00266,0.00258,5e-05,0.00249,0.003,0.00249,50.0,3.23,6.45,LOSS,-3.23,-6.45,113
1131,TACUSDT,LONG,2026-08-14 16:00:00 UTC,1786723200000,1786723200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00266,0.00258,5e-05,0.00249,0.00301,0.00249,50.0,3.26,6.51,LOSS,-3.26,-6.51,112
1132,TACUSDT,LONG,2026-08-14 17:00:00 UTC,1786726800000,1786726800,2026-08-16 16:59:59 UTC,1786899599999,1786899599,0.00266,0.00258,5e-05,0.00249,0.00299,0.00299,50.0,3.15,6.31,WIN,6.31,12.61,48
1133,TACUSDT,LONG,2026-08-14 18:00:00 UTC,1786730400000,1786730400,2026-08-16 16:59:59 UTC,1786899599999,1786899599,0.00266,0.00258,4e-05,0.00249,0.003,0.003,50.0,3.17,6.33,WIN,6.33,12.66,47
1134,TACUSDT,LONG,2026-08-14 19:00:00 UTC,1786734000000,1786734000,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00264,0.00258,4e-05,0.0025,0.00292,0.00292,50.0,2.69,5.38,WIN,5.38,10.77,18
1135,TACUSDT,LONG,2026-08-14 20:00:00 UTC,1786737600000,1786737600,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00263,0.00258,4e-05,0.0025,0.00288,0.00288,50.0,2.43,4.87,WIN,4.87,9.74,17
1136,TACUSDT,LONG,2026-08-14 21:00:00 UTC,1786741200000,1786741200,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00263,0.00258,4e-05,0.0025,0.0029,0.0029,50.0,2.48,4.97,WIN,4.97,9.93,16
1137,TACUSDT,LONG,2026-08-14 22:00:00 UTC,1786744800000,1786744800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00268,0.00258,4e-05,0.0025,0.00303,0.0025,50.0,3.29,6.58,LOSS,-3.29,-6.58,106
1138,TACUSDT,LONG,2026-08-14 23:00:00 UTC,1786748400000,1786748400,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00262,0.00256,5e-05,0.00246,0.00292,0.00292,50.0,2.92,5.84,WIN,5.84,11.68,14
1139,TACUSDT,LONG,2026-08-15 00:00:00 UTC,1786752000000,1786752000,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00263,0.00256,5e-05,0.00247,0.00294,0.00294,50.0,3.02,6.04,WIN,6.04,12.07,13
1140,TACUSDT,LONG,2026-08-15 01:00:00 UTC,1786755600000,1786755600,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00263,0.00256,5e-05,0.00247,0.00296,0.00296,50.0,3.13,6.26,WIN,6.26,12.52,12
1141,TACUSDT,LONG,2026-08-15 02:00:00 UTC,1786759200000,1786759200,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00263,0.00256,4e-05,0.00247,0.00296,0.00296,50.0,3.05,6.11,WIN,6.11,12.21,11
1142,TACUSDT,LONG,2026-08-15 03:00:00 UTC,1786762800000,1786762800,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00262,0.00256,4e-05,0.00247,0.00291,0.00291,50.0,2.75,5.51,WIN,5.51,11.01,10
1143,TACUSDT,LONG,2026-08-15 04:00:00 UTC,1786766400000,1786766400,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00261,0.00256,4e-05,0.00248,0.00288,0.00288,50.0,2.54,5.08,WIN,5.08,10.16,9
1144,TACUSDT,LONG,2026-08-15 05:00:00 UTC,1786770000000,1786770000,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00263,0.00256,4e-05,0.00248,0.00293,0.00293,50.0,2.85,5.71,WIN,5.71,11.42,8
1145,TACUSDT,LONG,2026-08-15 06:00:00 UTC,1786773600000,1786773600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00265,0.00256,4e-05,0.00248,0.00301,0.00248,50.0,3.31,6.62,LOSS,-3.31,-6.62,98
1146,TACUSDT,LONG,2026-08-15 07:00:00 UTC,1786777200000,1786777200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00266,0.00256,4e-05,0.00248,0.00302,0.00248,50.0,3.4,6.79,LOSS,-3.4,-6.79,97
1147,TACUSDT,LONG,2026-08-15 08:00:00 UTC,1786780800000,1786780800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00267,0.00256,4e-05,0.00248,0.00303,0.00248,50.0,3.42,6.84,LOSS,-3.42,-6.84,96
