Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
281,ARPAUSDT,7,28.57142857142857,-1.4634346850807813,-1.4634346850807813,98.5365653149192
282,FRAXUSDT,22,31.818181818181817,-1.4956733353947294,-1.4956733353947294,98.50432666460522
283,MAGMAUSDT,31,32.25806451612903,-1.5029924793089338,-1.5029924793089338,98.49700752069107
284,KAIAUSDT,16,31.25,-1.542235757806964,-1.542235757806964,98.45776424219306
285,KATUSDT,17,29.411764705882355,-1.5587872740638038,-1.5587872740638038,98.44121272593618
286,PIXELUSDT,17,29.411764705882355,-1.5738803503506618,-1.5738803503506618,98.42611964964934
287,OGUSDT,5,20.0,-1.598423675869271,-1.598423675869271,98.40157632413073
288,UAIUSDT,12,25.0,-1.6664850933040198,-1.6664850933040198,98.33351490669598
289,BTCUSDT,15,33.33333333333333,-1.6695640362126891,-1.6695640362126891,98.33043596378731
290,WOOUSDT,13,38.46153846153847,-1.6730802395351119,-1.6730802395351119,98.3269197604649
291,PHAUSDT,11,27.27272727272727,-1.724337404324336,-1.724337404324336,98.27566259567567
292,USDCUSDT,20,0.0,-1.7284670170016465,-1.7284670170016465,98.27153298299837
293,REZUSDT,4,25.0,-1.7970754151382784,-1.7970754151382784,98.20292458486172
294,ZETAUSDT,13,30.76923076923077,-1.8228701398447336,-1.8228701398447336,98.17712986015526
295,TURBOUSDT,9,33.33333333333333,-1.8444095315246871,-1.8444095315246871,98.15559046847532
296,ALGOUSDT,7,14.285714285714285,-1.8470556123218203,-1.8470556123218203,98.15294438767816
297,SPELLUSDT,7,42.857142857142854,-1.9131648318476686,-1.9131648318476686,98.08683516815235
298,AUCTIONUSDT,15,33.33333333333333,-1.9133216525839818,-1.9133216525839818,98.08667834741603
299,SONYUSDT,22,31.818181818181817,-1.9350217930625049,-1.9350217930625049,98.0649782069375
300,IOSTUSDT,6,16.666666666666664,-1.9391127885771784,-1.9391127885771784,98.06088721142282
301,CYBERUSDT,12,25.0,-1.9621923674403106,-1.9621923674403106,98.0378076325597
302,BERAUSDT,11,36.36363636363637,-1.9659496878498037,-1.9659496878498037,98.03405031215019
303,COMPUSDT,11,18.181818181818183,-2.0175886986476996,-2.0175886986476996,97.9824113013523
304,WUSDT,10,40.0,-2.0177375178826846,-2.0177375178826846,97.98226248211729
305,PROMPTUSDT,18,33.33333333333333,-2.1076367370213025,-2.1076367370213025,97.89236326297869
306,ZILUSDT,14,35.714285714285715,-2.1116985145251363,-2.1116985145251363,97.88830148547487
307,ONDOUSDT,12,25.0,-2.1485893094778654,-2.1485893094778654,97.85141069052214
308,PENDLEUSDT,22,40.909090909090914,-2.1514343088842605,-2.1514343088842605,97.84856569111577
309,BROCCOLI714USDT,11,27.27272727272727,-2.155517136595527,-2.155517136595527,97.84448286340447
310,SSVUSDT,13,38.46153846153847,-2.15919683535269,-2.15919683535269,97.84080316464733
311,TOWNSUSDT,18,27.77777777777778,-2.1805029615629667,-2.1805029615629667,97.81949703843702
312,COWUSDT,16,31.25,-2.2519044168510263,-2.2519044168510263,97.74809558314897
313,NXPCUSDT,22,31.818181818181817,-2.2840745161210063,-2.2840745161210063,97.71592548387902
314,SHELLUSDT,14,35.714285714285715,-2.2890011284323086,-2.2890011284323086,97.71099887156771
315,ASRUSDT,6,16.666666666666664,-2.2891329639594797,-2.2891329639594797,97.71086703604054
316,SOLUSDT,16,37.5,-2.344799107987164,-2.344799107987164,97.65520089201283
317,LUMIAUSDT,9,55.55555555555556,-2.3594301265028306,-2.3594301265028306,97.64056987349716
318,CHILLGUYUSDT,10,30.0,-2.3783246492384356,-2.3783246492384356,97.62167535076158
319,BICOUSDT,13,30.76923076923077,-2.4229790538161544,-2.4229790538161544,97.57702094618386
320,RENDERUSDT,9,33.33333333333333,-2.4331349362980372,-2.4331349362980372,97.56686506370195
321,ZKUSDT,13,23.076923076923077,-2.4433648068843823,-2.4433648068843823,97.55663519311564
322,ANKRUSDT,11,18.181818181818183,-2.5057680479208004,-2.5057680479208004,97.49423195207922
